method,seed,cycle_id,scheduled_position,original_group_id,group_size,priority,budget,actual_fe,fitness_before,fitness_after,actual_delta,overlap_var_count,overlap_ratio,conflict_prior_mean,was_sorted
diagnostic-only,4,0,2,2,4,1.1322306296792521,36,35,99.10122426428475,80.80422442607517,18.296999838209587,2,0.5,8.740341783664007e-12,False
diagnostic-only,5,0,0,0,10,0.8437667940608102,36,36,173.9573011143495,140.09408583076566,33.86321528358383,2,0.2,6.318284784256889e-11,False
diagnostic-only,5,0,1,1,10,1.3258077755366604,36,36,140.09408583076566,111.08414609934117,29.009939731424495,4,0.4,4.0101116871582576e-11,False
diagnostic-only,5,0,2,2,4,0.8304254304025295,36,35,111.08414609934117,88.58844963714506,22.495696462196108,2,0.5,1.7019385900596262e-11,False
sort-dangerous-ablation,1,0,0,0,10,1.2740227884667887,36,36,172.7658218670643,139.23996763504687,33.52585423201742,2,0.2,9.164724534826973e-12,True
sort-dangerous-ablation,1,0,1,2,4,0.9592692429343405,36,36,139.23996763504687,119.93641591550657,19.303551719540295,2,0.5,1.7152279596643893e-11,True
sort-dangerous-ablation,1,0,2,1,10,0.7667079685988707,36,35,119.93641591550657,91.63103531353481,28.305380601971763,4,0.4,1.3158502065735433e-11,True
sort-dangerous-ablation,2,0,0,0,10,1.1573310304984716,26,26,149.4279799104608,117.77368251217649,31.654297398284314,2,0.2,0.3872542230725556,True
sort-dangerous-ablation,2,0,1,1,10,0.9686289497674196,26,26,117.77368251217649,88.89478712212329,28.878895390053202,4,0.4,0.21590983445790682,True
sort-dangerous-ablation,2,0,2,2,4,0.8740400197341088,26,25,88.89478712212329,82.43406978559646,6.460717336526827,2,0.5,0.044565445843258056,True
sort-dangerous-ablation,3,0,0,0,10,1.1077963403985196,36,36,176.374640641639,141.85697491273868,34.51766572890031,2,0.2,4.088746008434896e-11,True
sort-dangerous-ablation,3,0,1,2,4,0.9618356877952459,36,36,141.85697491273868,123.94906339337795,17.907911519360724,2,0.5,4.0273451240580016e-11,True
sort-dangerous-ablation,3,0,2,1,10,0.9303679718062348,36,35,123.94906339337795,89.51345600583525,34.4356073875427,4,0.4,4.058045566246449e-11,True
sort-dangerous-ablation,4,0,0,2,4,1.1322306296792521,36,36,171.7682785404258,155.19536687994903,16.572911660476763,2,0.5,8.740341783664007e-12,True
sort-dangerous-ablation,4,0,1,1,10,0.9655534714581995,36,36,155.19536687994903,128.67887537165333,26.5164915082957,4,0.4,1.0019318708032188e-11,True
sort-dangerous-ablation,4,0,2,0,10,0.9022158988625488,36,35,128.67887537165333,111.83581739606956,16.843057975583775,2,0.2,1.1298295632400368e-11,True
sort-dangerous-ablation,5,0,0,1,10,1.3258077755366604,36,36,173.9573011143495,131.18863460964064,42.76866650470885,4,0.4,4.0101116871582576e-11,True
sort-dangerous-ablation,5,0,1,0,10,0.8437667940608102,36,36,131.18863460964064,89.58765316465876,41.60098144498188,2,0.2,6.318284784256889e-11,True
sort-dangerous-ablation,5,0,2,2,4,0.8304254304025295,36,35,89.58765316465876,73.93816108179163,15.649492082867127,2,0.5,1.7019385900596262e-11,True
