problem,seed,tfes,method,coordination_mode,cc_pass_group_fes,cc_pass_count,best_error,final_error,fe_used,runtime,fusion_count,freeze_count,disable_count,fusion_validation_attempt_count,fusion_validation_accept_count,fusion_validation_accept_rate,validation_attempt_count,validation_accept_count,validation_reject_count,validation_accept_rate,validation_extra_fe_ratio,relation_history_size,status
E4,8,10000,no-coordination,no_coordination,20,19,2331931604419.8457,2332099482397.0967,10000,4.1112542152404785,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
E4,9,10000,no-coordination,no_coordination,20,19,2252648810527.314,2255520281267.1797,10000,4.077967166900635,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
E4,10,10000,no-coordination,no_coordination,20,19,2524584950436.984,2526553790354.4077,10000,4.10416841506958,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
E6,1,10000,no-coordination,no_coordination,20,17,2156232517881.0522,2156232517881.0522,10000,4.246702194213867,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
E6,2,10000,no-coordination,no_coordination,20,17,2142574745470.2947,2142574745470.2947,10000,4.26623010635376,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
E6,3,10000,no-coordination,no_coordination,20,17,1868155304639.0747,1868155304639.0747,10000,4.359655857086182,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
E6,4,10000,no-coordination,no_coordination,20,17,2144633992925.959,2144633992925.959,10000,4.38370943069458,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
E6,5,10000,no-coordination,no_coordination,20,17,2208617483778.2354,2208617483778.2354,10000,4.410497188568115,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
E6,6,10000,no-coordination,no_coordination,20,17,2295556044244.0586,2297013763696.2974,10000,4.395450830459595,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
E6,7,10000,no-coordination,no_coordination,20,17,2004176969734.2117,2004176969734.2117,10000,4.426288843154907,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
E6,8,10000,no-coordination,no_coordination,20,17,2481963681570.22,2481963681570.22,10000,4.511603593826294,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
E6,9,10000,no-coordination,no_coordination,20,17,2063807987367.0261,2063807987367.0261,10000,4.512457847595215,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
E6,10,10000,no-coordination,no_coordination,20,17,1623652063805.2402,1623652063805.2402,10000,4.560826778411865,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
S4,1,10000,no-coordination,no_coordination,20,19,976701265802.5398,981137300418.6532,10000,4.945353269577026,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
S4,2,10000,no-coordination,no_coordination,20,19,699264592323.8534,702497094362.9528,10000,4.98222279548645,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
S4,3,10000,no-coordination,no_coordination,20,19,783620698694.1306,783712943214.6643,10000,4.987395524978638,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
S4,4,10000,no-coordination,no_coordination,20,19,411568732336.85785,411568732336.85785,10000,4.975838661193848,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
