problem,tfes,method,runs,best_mean,best_std,best_median,best_q1,best_q3,best_iqr,final_mean,final_std,gap_vs_no_coordination,gap_vs_validated,gap_vs_disable_fast,fusion_count,freeze_count,disable_count,fusion_validation_accept_rate,validation_accept_rate,validation_extra_fe_ratio,cc_pass_count_mean,relation_history_size_mean
A6,20000,arac-lite-v0.1-disable-fast,10,81222.30748399519,1069.8820444333846,81731.5545720352,80395.86349866707,82073.96004945056,1678.0965507834917,83515.4886658309,303.0704535365638,0.0019325793527216614,5.38874784083751e-05,0.0,2465,7879,79526,0.21120921524539957,0.2267559919478078,0.0011099999999999999,47.3,189.8
A6,20000,arac-lite-v0.6-no-delta-hard-block,10,81222.30748399519,1069.8820444333846,81731.5545720352,80395.86349866707,82073.96004945056,1678.0965507834917,83495.18168670463,270.1662354120117,0.0019325793527216614,5.38874784083751e-05,0.0,2466,7868,79536,0.21167256207269314,0.22616206642253217,0.0011099999999999999,47.3,189.8
A6,20000,arac-lite-v0.6-targeted-probe,10,81222.30748399519,1069.8820444333846,81731.5545720352,80395.86349866707,82073.96004945056,1678.0965507834917,83495.18168670463,270.1662354120117,0.0019325793527216614,5.38874784083751e-05,0.0,2466,7868,79536,0.21167256207269314,0.22616206642253217,0.0011099999999999999,47.3,189.8
A6,20000,no-coordination,10,81065.64169863328,1005.1272666992186,81579.06966531703,80372.98639507932,81914.96719968032,1541.9808046010003,83421.98603123127,276.51486424949263,0.0,-0.0018750681563094568,-0.0019288516937638312,0,0,0,0.0,0.0,0.0,33.0,0.0
A6,20000,validated-selective-conflict,10,81217.9308544999,1065.788828194021,81731.5545720352,80395.86349866707,82073.96004945056,1678.0965507834917,83485.64006981619,476.8350004867224,0.001878590641800638,0.0,-5.3884574704519164e-05,24745,49615,13610,0.2542901159562426,0.25628169997850847,0.0023150000000000002,46.3,0.0
E4,5000,arac-lite-v0.1-disable-fast,10,4814259990629.924,326882219586.8275,4890116020820.416,4525772866070.0625,4958102424751.577,432329558681.51465,4822647902559.401,319272446832.35547,0.00022153051307314967,-0.001159681754436325,0.0,1056,804,8590,0.09039758783232686,0.21646825396825395,0.00152,11.0,94.9
E4,5000,arac-lite-v0.6-no-delta-hard-block,10,4814259990629.924,326882219586.8275,4890116020820.416,4525772866070.0625,4958102424751.577,432329558681.51465,4822647902559.401,319272446832.35547,0.00022153051307314967,-0.001159681754436325,0.0,1057,800,8593,0.09029178638637378,0.21646825396825395,0.00152,11.0,94.9
E4,5000,arac-lite-v0.6-targeted-probe,10,4814259990629.924,326882219586.8275,4890116020820.416,4525772866070.0625,4958102424751.577,432329558681.51465,4822647902559.401,319272446832.35547,0.00022153051307314967,-0.001159681754436325,0.0,1057,800,8593,0.09029178638637378,0.21646825396825395,0.00152,11.0,94.9
E4,5000,no-coordination,10,4813193721355.312,328908659323.7348,4895797144339.734,4529627364116.879,4960296156392.531,430668792275.65234,4826590282538.672,321981554532.2598,0.0,-0.0013809063546162306,-0.00022148144817429942,0,0,0,0.0,0.0,0.0,10.0,0.0
E4,5000,validated-selective-conflict,10,4819849482133.483,339952477477.92633,4887715069087.15,4506755553927.8125,4964498079109.703,457742525181.8906,4825136290650.9795,337604552106.3827,0.0013828158938713419,0.0,0.0011610281776303093,5188,3857,1025,0.15438860466334722,0.17,0.0018800000000000002,10.6,0.0
E4,10000,arac-lite-v0.1-disable-fast,10,2213153076914.6484,229427935329.72256,2287036173287.5713,2033713547190.8335,2371168708651.8096,337455161460.9761,2214060008226.425,229426654180.55872,0.0010781141102227498,0.0004926623010814002,0.0,1155,921,16924,0.15150608261534843,0.23176823176823177,0.00088,20.0,95.0
E4,10000,arac-lite-v0.6-no-delta-hard-block,10,2213158629159.346,229429792318.86743,2287060855029.2505,2033713547190.8335,2371173327874.5244,337459780683.6909,2214165122731.192,229483037779.68893,0.0010806255635465545,0.0004951722856537946,2.5087486065330274e-06,1151,911,16938,0.14886646049809363,0.22322510822510822,0.00086,20.0,95.0
E4,10000,arac-lite-v0.6-targeted-probe,10,2213158629159.346,229429792318.86743,2287060855029.2505,2033713547190.8335,2371173327874.5244,337459780683.6909,2214165122731.192,229483037779.68893,0.0010806255635465545,0.0004951722856537946,2.5087486065330274e-06,1151,911,16938,0.14886646049809363,0.22322510822510822,0.00086,20.0,95.0
E4,10000,no-coordination,10,2210769614998.267,227971737166.75677,2294428697790.166,2037572171170.1738,2342469594751.101,304897423580.92725,2211701609090.3545,227649455528.22827,0.0,-0.0005848213050404266,-0.0010769530319629432,0,0,0,0.0,0.0,0.0,19.0,0.0
E4,10000,validated-selective-conflict,10,2212063276730.5967,236424444816.1045,2304368657771.1562,2038879317496.9868,2357691929234.648,318812611737.66113,2212878334756.132,236413360702.33698,0.0005851635211345185,0.0,-0.0004924197044567047,10421,7279,350,0.1630407318614771,0.18421052631578946,0.0019,19.0,0.0
E4,20000,arac-lite-v0.1-disable-fast,10,630321057158.0027,56247804980.27443,631381579913.3379,597441548167.5497,669313238508.8563,71871690341.30664,630661763194.7678,56190409593.41566,-0.004185573586036617,-0.010345846089364204,0.0,1189,837,34074,0.17882668257640916,0.2915079365079365,0.000445,38.0,95.0
