problem,tfes,candidate,baseline,paired_runs,wins,losses,ties,non_worse_count,non_worse_rate,gap_mean,gap_std,gap_median,gap_q1,gap_q3,gap_iqr,worst_case_gap,best_case_gap
E4,20000,arac-lite-v0.6-no-delta-hard-block,no-coordination,10,5,5,0,5,0.5,-0.00341934543689851,0.016753255999075106,-0.003760296067822359,-0.013266118381816405,0.010042366649152356,0.02330848503096876,0.023969715295004256,-0.03258934578288672
E4,20000,arac-lite-v0.6-no-delta-hard-block,validated-selective-conflict,10,7,3,0,7,0.7,-0.01003837901371389,0.011897068824574105,-0.013175472722046241,-0.020149239632764743,0.001621920460764166,0.021771160093528908,0.007139153758141807,-0.027332291879506948
E4,20000,arac-lite-v0.6-no-delta-hard-block,arac-lite-v0.1-disable-fast,10,0,0,10,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E4,all,arac-lite-v0.6-targeted-probe,no-coordination,30,13,16,1,14,0.4666666666666667,-0.000705241883400332,0.01088586711838043,0.000303875055448313,-0.005864746276054242,0.004232871434175693,0.010097617710229934,0.023969715295004256,-0.03258934578288672
E4,all,arac-lite-v0.6-targeted-probe,validated-selective-conflict,30,20,10,0,20,0.6666666666666666,-0.0033652587091206375,0.010424905013413931,-0.0017470141247806108,-0.010479598030799151,0.003574281363683404,0.014053879394482556,0.016877928127225456,-0.027332291879506948
E4,all,arac-lite-v0.6-targeted-probe,arac-lite-v0.1-disable-fast,30,0,2,28,28,0.9333333333333333,8.083827075972807e-07,3.9003489101919245e-06,0.0,0.0,0.0,0.0,2.166300845703905e-05,0.0
E4,all,arac-lite-v0.6-no-delta-hard-block,no-coordination,30,13,16,1,14,0.4666666666666667,-0.000705241883400332,0.01088586711838043,0.000303875055448313,-0.005864746276054242,0.004232871434175693,0.010097617710229934,0.023969715295004256,-0.03258934578288672
E4,all,arac-lite-v0.6-no-delta-hard-block,validated-selective-conflict,30,20,10,0,20,0.6666666666666666,-0.0033652587091206375,0.010424905013413931,-0.0017470141247806108,-0.010479598030799151,0.003574281363683404,0.014053879394482556,0.016877928127225456,-0.027332291879506948
E4,all,arac-lite-v0.6-no-delta-hard-block,arac-lite-v0.1-disable-fast,30,0,2,28,28,0.9333333333333333,8.083827075972807e-07,3.9003489101919245e-06,0.0,0.0,0.0,0.0,2.166300845703905e-05,0.0
E6,5000,arac-lite-v0.6-targeted-probe,no-coordination,10,3,7,0,3,0.3,0.0023916553237622864,0.004769666757094147,0.0018277701593265626,-0.0013900241461490394,0.004626643356923786,0.006016667503072825,0.011423524069952486,-0.003962109792065372
E6,5000,arac-lite-v0.6-targeted-probe,validated-selective-conflict,10,5,5,0,5,0.5,0.001411719812116618,0.005550066165785469,0.00033640155798295466,-0.0023568357364515853,0.0029021632089487885,0.005258998945400373,0.01406508171173448,-0.006164924852546303
E6,5000,arac-lite-v0.6-targeted-probe,arac-lite-v0.1-disable-fast,10,1,1,8,9,0.9,-0.00020279669222261152,0.0006084260480519405,0.0,0.0,0.0,0.0,1.0791160039679507e-07,-0.002028074833826512
E6,5000,arac-lite-v0.6-no-delta-hard-block,no-coordination,10,3,7,0,3,0.3,0.0023916553237622864,0.004769666757094147,0.0018277701593265626,-0.0013900241461490394,0.004626643356923786,0.006016667503072825,0.011423524069952486,-0.003962109792065372
E6,5000,arac-lite-v0.6-no-delta-hard-block,validated-selective-conflict,10,5,5,0,5,0.5,0.001411719812116618,0.005550066165785469,0.00033640155798295466,-0.0023568357364515853,0.0029021632089487885,0.005258998945400373,0.01406508171173448,-0.006164924852546303
E6,5000,arac-lite-v0.6-no-delta-hard-block,arac-lite-v0.1-disable-fast,10,1,1,8,9,0.9,-0.00020279669222261152,0.0006084260480519405,0.0,0.0,0.0,0.0,1.0791160039679507e-07,-0.002028074833826512
E6,10000,arac-lite-v0.6-targeted-probe,no-coordination,10,2,8,0,2,0.2,0.004166729482049944,0.005115703227815922,0.004062509568428223,0.00042369876403436564,0.006356566275709161,0.005932867511674796,0.01558415350912459,-0.003434059621883825
E6,10000,arac-lite-v0.6-targeted-probe,validated-selective-conflict,10,7,3,0,7,0.7,-0.002051616128796955,0.0034669102603926854,-0.0027953805945056445,-0.004262270754666937,-0.0001739896517093789,0.004088281102957558,0.0054024821631683305,-0.006377918830206379
E6,10000,arac-lite-v0.6-targeted-probe,arac-lite-v0.1-disable-fast,10,1,1,8,9,0.9,-0.00018503177667455746,0.0005695921627081638,0.0,0.0,0.0,0.0,4.3056480844260834e-05,-0.0018933742475898353
E6,10000,arac-lite-v0.6-no-delta-hard-block,no-coordination,10,2,8,0,2,0.2,0.004166729482049944,0.005115703227815922,0.004062509568428223,0.00042369876403436564,0.006356566275709161,0.005932867511674796,0.01558415350912459,-0.003434059621883825
E6,10000,arac-lite-v0.6-no-delta-hard-block,validated-selective-conflict,10,7,3,0,7,0.7,-0.002051616128796955,0.0034669102603926854,-0.0027953805945056445,-0.004262270754666937,-0.0001739896517093789,0.004088281102957558,0.0054024821631683305,-0.006377918830206379
E6,10000,arac-lite-v0.6-no-delta-hard-block,arac-lite-v0.1-disable-fast,10,1,1,8,9,0.9,-0.00018503177667455746,0.0005695921627081638,0.0,0.0,0.0,0.0,4.3056480844260834e-05,-0.0018933742475898353
E6,20000,arac-lite-v0.6-targeted-probe,no-coordination,10,5,4,1,6,0.6,0.0020643256477157444,0.012759222253478062,-0.0003863230810527462,-0.006155621346406213,0.004534891134454554,0.010690512480860767,0.030484470936154053,-0.013314961553915022
E6,20000,arac-lite-v0.6-targeted-probe,validated-selective-conflict,10,4,6,0,4,0.4,0.004764308477906501,0.009850857365995567,0.003415093391197864,-0.0016857731168994474,0.011697377432644648,0.013383150549544094,0.01975955480337247,-0.013394871970682252
E6,20000,arac-lite-v0.6-targeted-probe,arac-lite-v0.1-disable-fast,10,1,0,9,10,1.0,-0.0008852828561651475,0.0026558485684954427,0.0,0.0,0.0,0.0,0.0,-0.008852828561651475
E6,20000,arac-lite-v0.6-no-delta-hard-block,no-coordination,10,5,4,1,6,0.6,0.0020643256477157444,0.012759222253478062,-0.0003863230810527462,-0.006155621346406213,0.004534891134454554,0.010690512480860767,0.030484470936154053,-0.013314961553915022
E6,20000,arac-lite-v0.6-no-delta-hard-block,validated-selective-conflict,10,4,6,0,4,0.4,0.004764308477906501,0.009850857365995567,0.003415093391197864,-0.0016857731168994474,0.011697377432644648,0.013383150549544094,0.01975955480337247,-0.013394871970682252
